UNIT FILE                                  STATE           VENDOR PRESET
apache-htcacheclean.service                disabled        disabled
apache-htcacheclean@.service               disabled        disabled
apache2.service                            disabled        disabled
apache2@.service                           disabled        disabled
apparmor.service                           disabled        disabled
apt-daily-upgrade.service                  static          -
apt-daily.service                          static          -
atftpd.service                             indirect        disabled
auth-rpcgss-module.service                 static          -
autovt@.service                            alias           -
avahi-daemon.service                       disabled        disabled
binfmt-support.service                     enabled         enabled
blk-availability.service                   disabled        disabled
blueman-mechanism.service                  disabled        disabled
bluetooth.service                          disabled        disabled
colord.service                             static          -
configure-printer@.service                 static          -
console-getty.service                      disabled        disabled
console-setup.service                      enabled         enabled
container-getty@.service                   static          -
cron.service                               enabled         enabled
cryptdisks-early.service                   masked          disabled
cryptdisks.service                         masked          disabled
dbus-org.freedesktop.hostname1.service     alias           -
dbus-org.freedesktop.locale1.service       alias           -
dbus-org.freedesktop.login1.service        alias           -
dbus-org.freedesktop.ModemManager1.service alias           -
dbus-org.freedesktop.nm-dispatcher.service alias           -
dbus-org.freedesktop.timedate1.service     alias           -
dbus-org.freedesktop.timesync1.service     masked          disabled
dbus.service                               static          -
debug-shell.service                        disabled        disabled
display-manager.service                    alias           -
dm-event.service                           static          -
dns2tcp.service                            generated       -
e2scrub@.service                           static          -
e2scrub_all.service                        static          -
e2scrub_fail@.service                      static          -
e2scrub_reap.service                       enabled         disabled
emergency.service                          static          -
faraday.service                            disabled        disabled
fstrim.service                             static          -
geoclue.service                            static          -
getty-static.service                       static          -
getty@.service                             enabled         enabled
haveged.service                            enabled         enabled
hddtemp.service                            generated       -
hv-fcopy-daemon.service                    disabled        disabled
hv-kvp-daemon.service                      disabled        disabled
hv-vss-daemon.service                      disabled        disabled
hwclock.service                            masked          disabled
ifup@.service                              static          -
ifupdown-pre.service                       static          -
ifupdown-wait-online.service               disabled        disabled
iio-sensor-proxy.service                   static          -
inetsim.service                            generated       -
initrd-cleanup.service                     static          -
initrd-parse-etc.service                   static          -
initrd-switch-root.service                 static          -
initrd-udevadm-cleanup-db.service          static          -
iodined.service                            masked          disabled
ipp-usb.service                            static          -
ipsec.service                              alias           -
keyboard-setup.service                     enabled         enabled
king-phisher.service                       disabled        disabled
kismet.service                             disabled        disabled
kmod-static-nodes.service                  static          -
kmod.service                               alias           -
l2tpd.service                              alias           -
lightdm.service                            enabled         disabled
live-tools.service                         masked          enabled
lm-sensors.service                         disabled        disabled
logrotate.service                          static          -
lvm2-lvmpolld.service                      static          -
lvm2-monitor.service                       disabled        disabled
lvm2-pvscan@.service                       static          -
lvm2.service                               masked          disabled
man-db.service                             static          -
mariadb.service                            disabled        disabled
mariadb@.service                           disabled        disabled
miredo.service                             disabled        disabled
ModemManager.service                       enabled         enabled
modprobe@.service                          static          -
mysql.service                              alias           -
mysqld.service                             alias           -
networking.service                         enabled         enabled
NetworkManager-dispatcher.service          enabled         disabled
NetworkManager-wait-online.service         enabled         disabled
NetworkManager.service                     enabled         enabled
nfs-common.service                         masked          enabled
nfs-config.service                         static          -
nfs-idmapd.service                         static          -
nfs-utils.service                          static          -
nftables.service                           disabled        disabled
nginx.service                              disabled        disabled
nmbd.service                               disabled        disabled
ntp.service                                disabled        disabled
open-vm-tools.service                      enabled         enabled
openvpn-client@.service                    disabled        disabled
openvpn-server@.service                    disabled        disabled
openvpn.service                            disabled        disabled
openvpn@.service                           disabled        disabled
packagekit-offline-update.service          static          -
packagekit.service                         static          -
